AppID,游戏名称,类型
234080,恶魔城：暗影之王终极版,Game
234140,疯狂的麦克斯,Game
234270,圣殿春秋,Game
234390,电子脉冲：易死版,Game
234630,Project CARS,Game
234650,暗影狂奔：归来,Game
234670,火影忍者疾风传：究极忍者风暴3 完全爆发,Game
235210,出击飞龙,Game
235460,合金装备崛起：复仇,Game
235520,The White Laboratory,Game
235540,战锤：末世鼠疫,Game
235600,细胞分裂6：黑名单,Game
235720,Cubetractor,Game
236090,尘埃：幸福的轨迹,Game
236110,Dungeon Defenders II,Game
236390,战争雷霆,Game
236430,黑暗之魂2,Game
236850,欧陆风云4,Game
236870,杀手,Game
237430,远征军：征服者,Game
237470,Battle Worlds: Kronos,Game
237930,晶体管,Game
237990,旗帜的传说,Game
238090,狙击精英3,Game
238320,逃生,Game
238370,魔能2,Game
238430,传染病,Game
238460,战斗砖块剧场,Game
239030,请出示文件,Game
239140,消逝的光芒,Game
239160,Thief,Game
239200,失忆症：猪猡的机器,Game
239350,洞穴探险,Game
239820,游戏发展国,Game
240580,Worms Clan Wars Editor,Tool
240720,掘地求升 - 和班尼特福迪一起攻克难关,Game
240760,废土2：导演剪辑版,Game
240970,Half Minute Hero: The Second Coming,Game
241260,福尔摩斯：罪与罚,Game
241320,Ittle Dew,Game
241600,盗贼遗产,Game
241620,Inquisitor,Game
241910,再见德波尼亚,Game
241930,中土世界：暗影魔多,Game
242150,Orcs Must Die 2 Workshop Tool,Tool
242700,不义联盟：人中之神终极版,Game
242760,森林,Game
242840,In Verbis Virtus,Game
242860,凡尔登战役,Game
242920,放逐之城,Game
243120,Betrayer,Game
243800,燃油机车：极限版,Game
243950,Divinity: Dragon Commander,Game
243970,隐形公司,Game
244070,Sid Meier's Ace Patrol,Game
244160,家园：高清重制版合集,Game
244210,神力科莎 Assetto Corsa,Game
244450,战争之人：突击小队2,Game
244730,Divekick,Game
244850,太空工程师,Game
245170,骷髅女孩,Game
245300,Disney Epic Mickey 2,Game
245620,海岛大亨5,Game
245850,Don't Starve Mod Tools,Tool
246420,王国守卫战,Game
246620,瘟疫公司：物竞天择,Game
246900,内脏清洁工,Game
247020,"Cook, Serve, Delicious!",Game
247080,节奏地牢,Game
247120,Portal 2 Sixense Perceptual Pack,Game
247430,杀手3：契约,Game
247730,Nether,Game
247750,The Stanley Parable Demo,Game
247930,Sniper Elite: Zombie Army 2,Game
248310,自由星球,Game
248390,打造世界,Game
248530,Depth Hunter 2: Deep Dive,Game
248550,Megabyte Punch,Game
248610,破门而入,Game
248670,Worms Clan Wars - Speechbank Editor,Tool
248820,雨中冒险,Game
249050,无尽地牢(2014),Game
249130,乐高漫威超级英雄,Game
249590,Teslagrad,Game
249990,强制,Game
250180,合金弹头3,Game
250400,生存指南,Game
250500,Super Amazing Wagon Adventure,Game
250520,轨道之下,Game
250620,梦意杀机,Game
250660,Bunny Must Die! Chelsea and the 7 Devils,Game
250760,铲子骑士,Game
250900,以撒的结合：重生,Game
251060,战争游戏：红龙,Game
251130,彩度战队,Game
251150,英雄传说：空之轨迹FC,Game
251270,尸体派对,Game
251290,英雄传说：空之轨迹SC,Game
251470,倒塔：升天,Game
251570,七日杀,Game
252110,危险时空的恋人,Game
252130,Divide by Sheep,Game
252150,Grimm,Game
252410,蒸汽世界,Game
252490,腐蚀,Game
252530,巴士模拟2,Game
252610,加拿大死亡之路,Game
252670,Nihilumbra,Game
252850,Streamline,Game
252950,火箭联盟,Game
253150,Halfway,Game
253230,时光之帽,Game
253250,石炉,Game
253330,Neverending Nightmares,Game
253610,Wrack,Game
253770,Bus-Simulator 2012,Game
253860,Earth 2140 HD,Game
253880,Earth 2150 Trilogy,Game
253900,Knights and Merchants,Game
253920,Gorky 17,Game
253940,Septerra Core,Game
253960,Jack Orlando Director's Cut,Game
253980,Enclave,Game
254020,Commander: Conquest of the Americas Gold,Game
254040,Pirates of Black Cove Gold,Game
254060,KnightShift,Game
254080,World War III: Black Gold,Game
254100,World War II: Panzer Claws,Game
254430,Half-Life SDK,Tool
254700,生化危机4,Game
255220,GRID Autosport,Game
255300,Journey of a Roach,Game
255520,Viscera Cleanup Detail: Shadow Warrior,Game
255710,城市：天际线,Game
256290,光之子,Game
256370,越野摩托：官方越野赛,Game
257350,博德之门2：增强版,Game
257420,英雄萨姆4,Game
258760,Scania Truck Driving Simulator,Game
258880,Professional Farmer 2014,Game
259130,Wasteland 1 - The Original Classic,Game
259170,鬼屋魔影,Game
259280,Earth 2150: The Moon Project,Game
259300,Earth 2150: Lost Souls,Game
259320,Heli Heroes,Game
259340,Chicken Shoot Gold,Game
259360,Chicken Shoot 2,Game
259410,Sneaky Sneaky,Game
259680,马基埃亚尔的传说,Game
260160,The Last Tinker: City of Colors,Game
260230,勇敢的心：世界大战,Game
260730,赏金奇兵：西部通缉令,Game
260750,整蛊专家系列精选,Game
260770,Neighbours from Hell 2,Game
261030,行尸走肉：第二季,Game
261110,Killer is Dead,Game
261180,致命联盟,Game
261550,骑马与砍杀2：霸主,Game
261570,精灵与黑暗森林,Game
261640,无主之地：前传,Game
262060,暗黑地牢,Game
262280,地下城2,Game
262470,Rollers of the Realm,Game
262850,The Journey Down: Chapter Two,Game
263280,Spintires®,Game
263720,Brawlout,Game
263860,SPACECOM,Game
263980,Out There Somewhere,Game
264200,一击必杀,Game
264710,深海迷航,Game
265000,FORCED SHOWDOWN,Game
265210,内脏清洁工：圣诞之怒特别版,Game
265300,堕落之王,Game
265330,Gomo,Game
265550,丧尸围城3：天启版,Game
265590,红色至日,Game
265930,模拟山羊,Game
266010,连接,Game
266510,命运之手,Game
266840,神话时代：扩展版,Game
267180,Total War: ROME II - Assembly Kit BETA,Tool
267530,乐高大电影,Game
267550,超凡蜘蛛侠2,Game
267940,Glacier 3: The Meltdown,Game
268050,恶灵附身,Game
268500,幽浮2,Game
268650,深海远航,Game
268870,卫星统治,Game
268910,茶杯头,Game
269190,永恒边缘,Game
269210,攻城英雄,Game
269310,传染恐慌：幸存者,Game
269470,MorphVOX Pro 4 - Voice Changer,Application
269650,Dex,Game
269670,BADLAND: Game of the Year Edition,Game
269710,Tumblestone,Game
269770,格兰蒂亚秘闻,Game
269790,DreadOut,Game
269950,专业模拟飞行11,Game
270110,Block Story,Game
270150,小兵步枪,Game
270590,Long Night,Game
270850,Car Mechanic Simulator 2014,Game
270880,美国卡车模拟,Game
270910,Worms World Party Remastered,Game
271500,Sniper Art of Victory,Game
271590,侠盗猎车手5,Game
271640,Humanity Asset,Game
272010,Aveyond 3-1: Lord of Twilight,Game
272060,Serena,Game
272270,Torment: Tides of Numenera,Game
272470,The Incredible Adventures of Van Helsing II,Game
272510,火影忍者疾风传：究极忍者风暴-革命,Game
272860,Wreckfest Throw-A-Santa + Sneak Peek 2.0,Game
273350,Evolve Stage 2,Game
273770,Game Tycoon 1.5,Game
274170,火线迈阿密2：空号,Game
274190,武装原型,Game
274290,天在看,Game
274500,叛击士 装甲强化版,Game
274520,阴暗森林,Game
274920,FaceRig,Application
274940,深海惊魂 Depth,Game
275100,避难所 2,Game
275200,Westerado: Double Barreled,Game
275390,墨西哥英雄大混战：超级漩涡冠军版,Game
275490,Canyon Capers,Game
275850,No Man's Sky 无人深空,Game
277430,光环：斯巴达突袭,Game
277680,"About Love, Hate and the other ones",Game
277700,On Rusty Trails,Game
277870,Diehard Dungeon,Game
278080,真・三国无双７ with 猛将传,Game
278100,RIVE,Game
278360,叔叔的传说,Game
278490,Aveyond 3-2: Gates of Night,Game
278640,Terrian Saga: KR-17,Game
279260,Richard & Alice,Game
279720,The I of the Dragon,Game
280140,Millennium - A New Hope,Game
280160,荒神,Game
280720,Imagine Earth,Game
281610,家园：卡拉克沙漠,Game
281640,旗帜的传说2,Game
281750,Munin,Game
281820,Explodemon,Game
281920,子弹飞溅：血腥版,Game
281990,群星,Game
282050,究极大越野：狂飙,Game
282070,这是我的战争,Game
282140,活体脑细胞,Game
282160,X Tools,Tool
282800,100% Orange Juice,Game
282900,超次元海王星 重生1,Game
283080,Super Chibi Knight,Game
283270,Jagged Alliance Gold,Game
283290,Nosferatu: The Wrath of Malachi,Game
283370,Marine Sharpshooter II: Jungle Warfare,Game
283430,Litil Divil,Game
283640,盐与避难所,Game
284160,车祸模拟器 - BeamNG.drive,Game
285010,Pixel Puzzles: UndeadZ,Game
285050,Showtime!,Game
